anzsic06,Area,year,geo_count,ec_count
A011,A196100,2000,3,0
A011,A196200,2000,3,0
A011,A196300,2000,0,3
A011,A196400,2000,0,0
A011,A196500,2000,3,3
A011,A196600,2000,3,0
A011,A196700,2000,0,0
A011,A196900,2000,3,0
A011,A197400,2000,0,0
A011,A197500,2000,0,0
A011,A197700,2000,6,15
A011,A197900,2000,0,0
A011,A198000,2000,3,0
A011,A198100,2000,3,0
A011,A198700,2000,0,0
A011,A200100,2000,0,6
A011,A200400,2000,3,3
A011,A200700,2000,3,3
A011,A200800,2000,0,0
A011,A200900,2000,0,3
A011,A201600,2000,0,3
A011,A201800,2000,3,0
A011,A202000,2000,3,0
A011,A202100,2000,3,0
A011,A202300,2000,3,6
A011,A202400,2000,0,0
A011,A202500,2000,0,0
A011,A203100,2000,0,0
A011,A204100,2000,0,0
A011,A204300,2000,3,0
A011,A204400,2000,6,3
A011,A204500,2000,0,0
A011,A204900,2000,0,0
A011,A205100,2000,6,0
A011,A205200,2000,3,0
A011,A205300,2000,3,15
A011,A205400,2000,9,15
A011,A205600,2000,0,21
A011,A205800,2000,0,3
A011,A206700,2000,3,0
A011,A206800,2000,0,0
A011,A207400,2000,0,0
A011,A207700,2000,3,3
A011,A208100,2000,3,3
A011,A208300,2000,6,21
A011,A208400,2000,3,35
A011,A208500,2000,0,3
A011,A208600,2000,6,15
A011,A208700,2000,0,0
A011,A208800,2000,3,0
A011,A209000,2000,3,0
A011,A209300,2000,0,6
A011,A209400,2000,0,0
A011,A209600,2000,9,35
A011,A209700,2000,3,0
A011,A210100,2000,3,9
A011,A210200,2000,0,0
A011,A210300,2000,0,0
A011,A210400,2000,6,3
A011,A210500,2000,3,0
A011,A210900,2000,3,0
A011,A211000,2000,0,6
A011,A211100,2000,3,6
A011,A211200,2000,6,0
A011,A211500,2000,0,0
A011,A211700,2000,3,18
A011,A212000,2000,3,12
A011,A212100,2000,0,9
A011,A212200,2000,3,0
A011,A212300,2000,6,40
A011,A212400,2000,6,9
A011,A212500,2000,3,40
A011,A213000,2000,0,0
A011,A215400,2000,6,21
A011,A215500,2000,3,0
A011,A215600,2000,3,3
A011,A215800,2000,0,18
A011,A215900,2000,6,0
A011,A216000,2000,0,0
A011,A216400,2000,3,0
A011,A216500,2000,0,0
A011,A216600,2000,0,0
A011,A216700,2000,3,0
A011,A217300,2000,3,0
A011,A217500,2000,0,0
A011,A217600,2000,0,0
A011,A217700,2000,3,6
A011,A217900,2000,0,21
A011,A218200,2000,3,0
A011,A218300,2000,3,6
A011,A218400,2000,3,6
A011,A218500,2000,0,0
A011,A218600,2000,3,0
A011,A218700,2000,0,0
A011,A218800,2000,6,9
A011,A218900,2000,6,0
A011,A219000,2000,27,95
A011,A219100,2000,6,0
A011,A219200,2000,3,0
A011,A219300,2000,3,6
A011,A219400,2000,9,20
A011,A219500,2000,0,0
A011,A219600,2000,6,0
A011,A219800,2000,0,0
A011,A219900,2000,3,0
A011,A220000,2000,3,3
A011,A220800,2000,3,6
A011,A220900,2000,3,0
A011,A221100,2000,6,0
A011,A221300,2000,3,0
A011,A221400,2000,0,0
A011,A221500,2000,0,0
A011,A221600,2000,6,0
A011,A221800,2000,3,9
A011,A221900,2000,0,0
A011,A222100,2000,0,0
A011,A222300,2000,3,3
A011,A222600,2000,0,6
A011,A222900,2000,3,0
A011,A223300,2000,0,0
A011,A223400,2000,0,0
A011,A223500,2000,9,12
A011,A223900,2000,3,3
A011,A224000,2000,3,0
